order_id,customer_id,order_status,order_date,required_date,shipped_date,store_id,staff_id,source,timestamp_saved
41,979,4,2016-01-27,2016-01-30,2016-01-29,2,6,DB,2024-05-02 09:21:33.704821
42,1095,4,2016-01-27,2016-01-28,2016-01-30,2,7,DB,2024-05-02 09:21:33.704821
43,1434,4,2016-01-27,2016-01-28,2016-01-30,2,7,DB,2024-05-02 09:21:33.704821
44,861,4,2016-01-28,2016-01-31,2016-01-30,2,7,DB,2024-05-02 09:21:33.704821
45,1220,4,2016-01-28,2016-01-31,2016-01-31,2,7,DB,2024-05-02 09:21:33.704821
46,746,4,2016-01-29,2016-01-31,2016-01-31,2,7,DB,2024-05-02 09:21:33.704821
47,1234,4,2016-01-29,2016-01-30,2016-01-31,2,7,DB,2024-05-02 09:21:33.704821
48,1012,4,2016-01-30,2016-02-01,2016-02-02,2,7,DB,2024-05-02 09:21:33.704821
49,608,4,2016-01-31,2016-02-01,2016-02-02,2,6,DB,2024-05-02 09:21:33.704821
50,872,4,2016-01-31,2016-02-03,2016-02-02,3,8,DB,2024-05-02 09:21:33.704821
51,1047,4,2016-02-01,2016-02-02,2016-02-03,2,7,DB,2024-05-02 09:21:33.704821
52,767,4,2016-02-03,2016-02-04,2016-02-05,1,2,DB,2024-05-02 09:21:33.704821
53,965,4,2016-02-03,2016-02-04,2016-02-05,2,6,DB,2024-05-02 09:21:33.704821
54,535,4,2016-02-04,2016-02-07,2016-02-07,2,7,DB,2024-05-02 09:21:33.704821
55,1173,4,2016-02-04,2016-02-07,2016-02-06,2,6,DB,2024-05-02 09:21:33.704821
56,1241,4,2016-02-04,2016-02-06,2016-02-07,2,6,DB,2024-05-02 09:21:33.704821
57,1305,4,2016-02-04,2016-02-06,2016-02-06,2,7,DB,2024-05-02 09:21:33.704821
58,504,4,2016-02-05,2016-02-07,2016-02-07,2,6,DB,2024-05-02 09:21:33.704821
59,563,4,2016-02-05,2016-02-07,2016-02-06,2,7,DB,2024-05-02 09:21:33.704821
60,151,4,2016-02-06,2016-02-08,2016-02-07,1,3,DB,2024-05-02 09:21:33.704821
61,277,4,2016-02-06,2016-02-09,2016-02-09,2,7,DB,2024-05-02 09:21:33.704821
62,208,4,2016-02-07,2016-02-10,2016-02-10,1,2,DB,2024-05-02 09:21:33.704821
63,1075,4,2016-02-07,2016-02-09,2016-02-09,2,7,DB,2024-05-02 09:21:33.704821
64,1185,4,2016-02-07,2016-02-08,2016-02-09,2,6,DB,2024-05-02 09:21:33.704821
65,996,4,2016-02-08,2016-02-09,2016-02-11,2,6,DB,2024-05-02 09:21:33.704821
66,1253,4,2016-02-09,2016-02-12,2016-02-12,2,7,DB,2024-05-02 09:21:33.704821
67,526,4,2016-02-09,2016-02-11,2016-02-10,3,8,DB,2024-05-02 09:21:33.704821
68,381,4,2016-02-10,2016-02-11,2016-02-13,2,6,DB,2024-05-02 09:21:33.704821
69,1413,4,2016-02-10,2016-02-12,2016-02-11,2,7,DB,2024-05-02 09:21:33.704821
71,797,4,2016-02-11,2016-02-14,2016-02-12,2,7,DB,2024-05-02 09:21:33.704821
72,1386,4,2016-02-12,2016-02-15,2016-02-13,1,2,DB,2024-05-02 09:21:33.704821
73,612,4,2016-02-12,2016-02-15,2016-02-14,2,7,DB,2024-05-02 09:21:33.704821
74,264,4,2016-02-13,2016-02-15,2016-02-15,2,7,DB,2024-05-02 09:21:33.704821
75,587,4,2016-02-14,2016-02-15,2016-02-17,2,6,DB,2024-05-02 09:21:33.704821
77,385,4,2016-02-16,2016-02-19,2016-02-19,1,2,DB,2024-05-02 09:21:33.704821
78,1182,4,2016-02-16,2016-02-18,2016-02-19,2,7,DB,2024-05-02 09:21:33.704821
79,529,4,2016-02-17,2016-02-20,2016-02-20,1,3,DB,2024-05-02 09:21:33.704821
80,397,4,2016-02-17,2016-02-20,2016-02-19,2,6,DB,2024-05-02 09:21:33.704821
81,521,4,2016-02-17,2016-02-19,2016-02-18,2,6,DB,2024-05-02 09:21:33.704821
82,1223,4,2016-02-18,2016-02-21,2016-02-20,2,6,DB,2024-05-02 09:21:33.704821
83,393,4,2016-02-19,2016-02-20,2016-02-20,1,3,DB,2024-05-02 09:21:33.704821
84,317,4,2016-02-20,2016-02-22,2016-02-21,2,7,DB,2024-05-02 09:21:33.704821
85,1174,4,2016-02-20,2016-02-23,2016-02-21,2,7,DB,2024-05-02 09:21:33.704821
86,276,4,2016-02-21,2016-02-22,2016-02-23,2,7,DB,2024-05-02 09:21:33.704821
87,516,4,2016-02-21,2016-02-22,2016-02-23,2,6,DB,2024-05-02 09:21:33.704821
88,1069,4,2016-02-21,2016-02-22,2016-02-23,2,6,DB,2024-05-02 09:21:33.704821
89,668,4,2016-02-21,2016-02-24,2016-02-24,3,8,DB,2024-05-02 09:21:33.704821
90,414,4,2016-02-23,2016-02-25,2016-02-24,2,7,DB,2024-05-02 09:21:33.704821
91,648,4,2016-02-25,2016-02-27,2016-02-28,1,2,DB,2024-05-02 09:21:33.704821
92,1309,4,2016-02-25,2016-02-28,2016-02-28,2,7,DB,2024-05-02 09:21:33.704821
93,1328,4,2016-02-26,2016-02-28,2016-02-27,1,3,DB,2024-05-02 09:21:33.704821
94,929,4,2016-02-27,2016-02-28,2016-02-29,1,2,DB,2024-05-02 09:21:33.704821
95,218,4,2016-02-27,2016-02-29,2016-02-28,2,7,DB,2024-05-02 09:21:33.704821
96,1094,4,2016-02-27,2016-02-29,2016-02-28,2,7,DB,2024-05-02 09:21:33.704821
97,204,4,2016-02-28,2016-02-29,2016-03-01,2,7,DB,2024-05-02 09:21:33.704821
98,1194,4,2016-02-28,2016-02-29,2016-02-29,2,6,DB,2024-05-02 09:21:33.704821
99,1165,4,2016-02-29,2016-03-01,2016-03-03,3,9,DB,2024-05-02 09:21:33.704821
100,1237,4,2016-03-01,2016-03-04,2016-03-03,2,7,DB,2024-05-02 09:21:33.704821
101,271,4,2016-03-01,2016-03-04,2016-03-04,3,8,DB,2024-05-02 09:21:33.704821
102,336,4,2016-03-02,2016-03-05,2016-03-03,2,7,DB,2024-05-02 09:21:33.704821
103,991,4,2016-03-03,2016-03-06,2016-03-05,1,2,DB,2024-05-02 09:21:33.704821
104,7,4,2016-03-03,2016-03-05,2016-03-05,2,7,DB,2024-05-02 09:21:33.704821
105,306,4,2016-03-03,2016-03-05,2016-03-04,2,7,DB,2024-05-02 09:21:33.704821
106,422,4,2016-03-04,2016-03-05,2016-03-05,3,9,DB,2024-05-02 09:21:33.704821
107,633,4,2016-03-06,2016-03-09,2016-03-09,1,2,DB,2024-05-02 09:21:33.704821
108,12,4,2016-03-06,2016-03-09,2016-03-07,2,6,DB,2024-05-02 09:21:33.704821
109,1255,4,2016-03-06,2016-03-09,2016-03-09,2,6,DB,2024-05-02 09:21:33.704821
110,677,4,2016-03-06,2016-03-08,2016-03-09,3,9,DB,2024-05-02 09:21:33.704821
111,630,4,2016-03-07,2016-03-10,2016-03-10,2,6,DB,2024-05-02 09:21:33.704821
112,469,4,2016-03-08,2016-03-11,2016-03-10,2,6,DB,2024-05-02 09:21:33.704821
113,1078,4,2016-03-08,2016-03-11,2016-03-11,2,6,DB,2024-05-02 09:21:33.704821
114,1431,4,2016-03-08,2016-03-10,2016-03-11,2,7,DB,2024-05-02 09:21:33.704821
115,1369,4,2016-03-09,2016-03-11,2016-03-11,2,7,DB,2024-05-02 09:21:33.704821
116,471,4,2016-03-10,2016-03-11,2016-03-11,2,7,DB,2024-05-02 09:21:33.704821
117,740,4,2016-03-10,2016-03-13,2016-03-11,2,6,DB,2024-05-02 09:21:33.704821
118,577,4,2016-03-12,2016-03-14,2016-03-13,1,2,DB,2024-05-02 09:21:33.704821
119,925,4,2016-03-12,2016-03-14,2016-03-14,2,7,DB,2024-05-02 09:21:33.704821
120,327,4,2016-03-14,2016-03-15,2016-03-17,2,7,DB,2024-05-02 09:21:33.704821
121,755,4,2016-03-14,2016-03-15,2016-03-16,2,6,DB,2024-05-02 09:21:33.704821
122,786,4,2016-03-14,2016-03-16,2016-03-15,2,6,DB,2024-05-02 09:21:33.704821
123,766,4,2016-03-15,2016-03-18,2016-03-17,2,6,DB,2024-05-02 09:21:33.704821
124,403,4,2016-03-16,2016-03-18,2016-03-17,1,3,DB,2024-05-02 09:21:33.704821
125,685,4,2016-03-16,2016-03-19,2016-03-17,2,6,DB,2024-05-02 09:21:33.704821
126,1365,4,2016-03-16,2016-03-18,2016-03-18,2,7,DB,2024-05-02 09:21:33.704821
127,484,4,2016-03-17,2016-03-18,2016-03-19,3,8,DB,2024-05-02 09:21:33.704821
128,86,4,2016-03-18,2016-03-20,2016-03-21,2,6,DB,2024-05-02 09:21:33.704821
129,84,4,2016-03-19,2016-03-21,2016-03-21,2,7,DB,2024-05-02 09:21:33.704821
130,1049,4,2016-03-19,2016-03-22,2016-03-20,2,6,DB,2024-05-02 09:21:33.704821
131,316,4,2016-03-19,2016-03-22,2016-03-20,3,8,DB,2024-05-02 09:21:33.704821
132,46,4,2016-03-20,2016-03-22,2016-03-23,1,3,DB,2024-05-02 09:21:33.704821
133,409,4,2016-03-20,2016-03-22,2016-03-21,2,7,DB,2024-05-02 09:21:33.704821
134,679,4,2016-03-20,2016-03-21,2016-03-21,2,7,DB,2024-05-02 09:21:33.704821
135,1354,4,2016-03-21,2016-03-23,2016-03-23,2,7,DB,2024-05-02 09:21:33.704821
136,1192,4,2016-03-21,2016-03-24,2016-03-23,3,8,DB,2024-05-02 09:21:33.704821
137,370,4,2016-03-23,2016-03-26,2016-03-25,2,7,DB,2024-05-02 09:21:33.704821
138,438,4,2016-03-23,2016-03-24,2016-03-25,2,7,DB,2024-05-02 09:21:33.704821
139,710,4,2016-03-23,2016-03-24,2016-03-26,2,7,DB,2024-05-02 09:21:33.704821
140,1264,4,2016-03-23,2016-03-26,2016-03-26,2,7,DB,2024-05-02 09:21:33.704821
141,557,4,2016-03-25,2016-03-27,2016-03-26,2,7,DB,2024-05-02 09:21:33.704821
142,170,4,2016-03-26,2016-03-27,2016-03-27,1,3,DB,2024-05-02 09:21:33.704821
143,693,4,2016-03-26,2016-03-28,2016-03-28,2,7,DB,2024-05-02 09:21:33.704821
144,1124,4,2016-03-26,2016-03-29,2016-03-29,2,7,DB,2024-05-02 09:21:33.704821
145,366,4,2016-03-27,2016-03-29,2016-03-30,2,6,DB,2024-05-02 09:21:33.704821
146,288,4,2016-03-28,2016-03-30,2016-03-30,1,3,DB,2024-05-02 09:21:33.704821
147,55,4,2016-03-28,2016-03-31,2016-03-31,2,7,DB,2024-05-02 09:21:33.704821
148,714,4,2016-03-28,2016-03-30,2016-03-30,2,6,DB,2024-05-02 09:21:33.704821
149,763,4,2016-03-28,2016-03-30,2016-03-29,2,6,DB,2024-05-02 09:21:33.704821
150,332,4,2016-03-29,2016-03-31,2016-04-01,1,2,DB,2024-05-02 09:21:33.704821
151,926,4,2016-03-29,2016-04-01,2016-03-31,1,2,DB,2024-05-02 09:21:33.704821
152,76,4,2016-03-29,2016-03-30,2016-03-30,2,6,DB,2024-05-02 09:21:33.704821
153,498,4,2016-03-30,2016-04-02,2016-04-01,2,6,DB,2024-05-02 09:21:33.704821
154,1286,4,2016-03-31,2016-04-01,2016-04-01,1,2,DB,2024-05-02 09:21:33.704821
155,371,4,2016-04-02,2016-04-03,2016-04-04,2,6,DB,2024-05-02 09:21:33.704821
156,357,4,2016-04-03,2016-04-06,2016-04-05,1,3,DB,2024-05-02 09:21:33.704821
157,43,4,2016-04-03,2016-04-06,2016-04-06,3,8,DB,2024-05-02 09:21:33.704821
159,32,4,2016-04-04,2016-04-06,2016-04-06,1,2,DB,2024-05-02 09:21:33.704821
160,205,4,2016-04-04,2016-04-06,2016-04-06,2,7,DB,2024-05-02 09:21:33.704821
161,251,4,2016-04-04,2016-04-07,2016-04-05,2,7,DB,2024-05-02 09:21:33.704821
162,31,4,2016-04-06,2016-04-08,2016-04-07,1,3,DB,2024-05-02 09:21:33.704821
163,1325,4,2016-04-06,2016-04-07,2016-04-07,2,7,DB,2024-05-02 09:21:33.704821
164,610,4,2016-04-07,2016-04-08,2016-04-09,2,7,DB,2024-05-02 09:21:33.704821
165,574,4,2016-04-08,2016-04-10,2016-04-10,1,3,DB,2024-05-02 09:21:33.704821
166,338,4,2016-04-08,2016-04-11,2016-04-11,2,6,DB,2024-05-02 09:21:33.704821
167,1034,4,2016-04-08,2016-04-09,2016-04-11,2,7,DB,2024-05-02 09:21:33.704821
168,1147,4,2016-04-09,2016-04-12,2016-04-11,1,3,DB,2024-05-02 09:21:33.704821
169,99,4,2016-04-10,2016-04-11,2016-04-11,2,7,DB,2024-05-02 09:21:33.704821
170,1200,4,2016-04-10,2016-04-11,2016-04-13,2,7,DB,2024-05-02 09:21:33.704821
171,237,4,2016-04-11,2016-04-14,2016-04-14,1,3,DB,2024-05-02 09:21:33.704821
172,1079,4,2016-04-11,2016-04-12,2016-04-14,2,7,DB,2024-05-02 09:21:33.704821
173,117,4,2016-04-11,2016-04-14,2016-04-13,3,8,DB,2024-05-02 09:21:33.704821
174,1361,4,2016-04-12,2016-04-13,2016-04-15,2,7,DB,2024-05-02 09:21:33.704821
175,951,4,2016-04-13,2016-04-14,2016-04-14,2,6,DB,2024-05-02 09:21:33.704821
176,643,4,2016-04-15,2016-04-16,2016-04-17,2,7,DB,2024-05-02 09:21:33.704821
177,121,4,2016-04-16,2016-04-19,2016-04-19,1,2,DB,2024-05-02 09:21:33.704821
178,756,4,2016-04-16,2016-04-17,2016-04-18,2,6,DB,2024-05-02 09:21:33.704821
179,616,4,2016-04-17,2016-04-19,2016-04-19,2,6,DB,2024-05-02 09:21:33.704821
180,918,4,2016-04-17,2016-04-20,2016-04-19,2,7,DB,2024-05-02 09:21:33.704821
181,459,4,2016-04-18,2016-04-20,2016-04-20,1,3,DB,2024-05-02 09:21:33.704821
182,854,4,2016-04-18,2016-04-19,2016-04-20,2,6,DB,2024-05-02 09:21:33.704821
183,22,4,2016-04-19,2016-04-20,2016-04-20,2,7,DB,2024-05-02 09:21:33.704821
184,134,4,2016-04-19,2016-04-21,2016-04-22,2,7,DB,2024-05-02 09:21:33.704821
186,1127,4,2016-04-21,2016-04-22,2016-04-24,2,6,DB,2024-05-02 09:21:33.704821
187,183,4,2016-04-22,2016-04-23,2016-04-24,2,6,DB,2024-05-02 09:21:33.704821
188,390,4,2016-04-22,2016-04-23,2016-04-25,2,6,DB,2024-05-02 09:21:33.704821
189,1288,4,2016-04-23,2016-04-24,2016-04-26,1,2,DB,2024-05-02 09:21:33.704821
190,98,4,2016-04-23,2016-04-25,2016-04-25,2,6,DB,2024-05-02 09:21:33.704821
191,919,4,2016-04-27,2016-04-28,2016-04-28,1,2,DB,2024-05-02 09:21:33.704821
192,728,4,2016-04-27,2016-04-28,2016-04-29,2,7,DB,2024-05-02 09:21:33.704821
193,1366,4,2016-04-28,2016-04-30,2016-04-30,1,3,DB,2024-05-02 09:21:33.704821
194,558,4,2016-04-28,2016-04-30,2016-05-01,2,7,DB,2024-05-02 09:21:33.704821
195,727,4,2016-04-28,2016-05-01,2016-05-01,2,7,DB,2024-05-02 09:21:33.704821
196,1247,4,2016-04-28,2016-04-30,2016-05-01,2,6,DB,2024-05-02 09:21:33.704821
197,127,4,2016-04-30,2016-05-03,2016-05-03,2,7,DB,2024-05-02 09:21:33.704821
198,640,4,2016-05-01,2016-05-04,2016-05-03,2,6,DB,2024-05-02 09:21:33.704821
199,760,4,2016-05-01,2016-05-04,2016-05-04,2,7,DB,2024-05-02 09:21:33.704821
200,1074,4,2016-05-01,2016-05-03,2016-05-03,2,6,DB,2024-05-02 09:21:33.704821
201,280,4,2016-05-01,2016-05-04,2016-05-02,3,9,DB,2024-05-02 09:21:33.704821
202,600,4,2016-05-03,2016-05-05,2016-05-04,1,2,DB,2024-05-02 09:21:33.704821
203,1102,4,2016-05-03,2016-05-05,2016-05-06,3,9,DB,2024-05-02 09:21:33.704821
204,591,4,2016-05-04,2016-05-07,2016-05-06,2,7,DB,2024-05-02 09:21:33.704821
205,635,4,2016-05-04,2016-05-05,2016-05-06,2,6,DB,2024-05-02 09:21:33.704821
206,743,4,2016-05-04,2016-05-06,2016-05-05,3,9,DB,2024-05-02 09:21:33.704821
207,105,4,2016-05-05,2016-05-07,2016-05-07,2,7,DB,2024-05-02 09:21:33.704821
208,815,4,2016-05-06,2016-05-07,2016-05-09,2,7,DB,2024-05-02 09:21:33.704821
209,514,4,2016-05-07,2016-05-08,2016-05-08,2,6,DB,2024-05-02 09:21:33.704821
210,943,4,2016-05-07,2016-05-08,2016-05-09,2,6,DB,2024-05-02 09:21:33.704821
211,1140,4,2016-05-07,2016-05-09,2016-05-08,2,6,DB,2024-05-02 09:21:33.704821
212,1373,4,2016-05-08,2016-05-09,2016-05-11,2,6,DB,2024-05-02 09:21:33.704821
213,788,4,2016-05-08,2016-05-09,2016-05-09,3,8,DB,2024-05-02 09:21:33.704821
214,363,4,2016-05-10,2016-05-12,2016-05-11,2,6,DB,2024-05-02 09:21:33.704821
215,1420,4,2016-05-10,2016-05-13,2016-05-12,2,7,DB,2024-05-02 09:21:33.704821
216,267,4,2016-05-11,2016-05-14,2016-05-13,1,3,DB,2024-05-02 09:21:33.704821
217,716,4,2016-05-11,2016-05-12,2016-05-14,2,7,DB,2024-05-02 09:21:33.704821
218,1179,4,2016-05-12,2016-05-14,2016-05-14,2,7,DB,2024-05-02 09:21:33.704821
219,1338,4,2016-05-12,2016-05-15,2016-05-15,2,6,DB,2024-05-02 09:21:33.704821
220,1358,4,2016-05-12,2016-05-14,2016-05-15,2,6,DB,2024-05-02 09:21:33.704821
221,1218,4,2016-05-13,2016-05-16,2016-05-14,1,2,DB,2024-05-02 09:21:33.704821
222,51,4,2016-05-13,2016-05-16,2016-05-14,2,6,DB,2024-05-02 09:21:33.704821
223,1368,4,2016-05-15,2016-05-16,2016-05-17,2,7,DB,2024-05-02 09:21:33.704821
224,157,4,2016-05-17,2016-05-18,2016-05-19,1,3,DB,2024-05-02 09:21:33.704821
225,307,4,2016-05-17,2016-05-20,2016-05-19,1,3,DB,2024-05-02 09:21:33.704821
226,501,4,2016-05-17,2016-05-19,2016-05-20,1,2,DB,2024-05-02 09:21:33.704821
227,489,4,2016-05-17,2016-05-18,2016-05-20,2,7,DB,2024-05-02 09:21:33.704821
228,615,4,2016-05-17,2016-05-20,2016-05-20,2,7,DB,2024-05-02 09:21:33.704821
229,742,4,2016-05-19,2016-05-21,2016-05-20,2,6,DB,2024-05-02 09:21:33.704821
230,1167,4,2016-05-19,2016-05-20,2016-05-21,2,6,DB,2024-05-02 09:21:33.704821
231,1257,4,2016-05-19,2016-05-22,2016-05-21,2,6,DB,2024-05-02 09:21:33.704821
232,1360,4,2016-05-20,2016-05-23,2016-05-23,1,3,DB,2024-05-02 09:21:33.704821
233,737,4,2016-05-21,2016-05-22,2016-05-24,2,6,DB,2024-05-02 09:21:33.704821
234,1435,4,2016-05-22,2016-05-24,2016-05-24,2,6,DB,2024-05-02 09:21:33.704821
235,649,4,2016-05-24,2016-05-25,2016-05-25,2,6,DB,2024-05-02 09:21:33.704821
236,206,4,2016-05-25,2016-05-27,2016-05-26,2,6,DB,2024-05-02 09:21:33.704821
237,1351,4,2016-05-25,2016-05-26,2016-05-27,2,7,DB,2024-05-02 09:21:33.704821
238,1350,4,2016-05-26,2016-05-29,2016-05-29,2,6,DB,2024-05-02 09:21:33.704821
240,65,4,2016-05-27,2016-05-29,2016-05-30,2,6,DB,2024-05-02 09:21:33.704821
241,1082,4,2016-05-27,2016-05-29,2016-05-29,2,7,DB,2024-05-02 09:21:33.704821
242,1168,4,2016-05-27,2016-05-30,2016-05-30,2,7,DB,2024-05-02 09:21:33.704821
243,802,4,2016-05-27,2016-05-30,2016-05-28,3,8,DB,2024-05-02 09:21:33.704821
244,956,4,2016-05-28,2016-05-29,2016-05-29,2,6,DB,2024-05-02 09:21:33.704821
245,223,4,2016-05-29,2016-05-31,2016-05-30,2,7,DB,2024-05-02 09:21:33.704821
247,928,4,2016-05-30,2016-06-01,2016-06-01,1,3,DB,2024-05-02 09:21:33.704821
248,1376,4,2016-05-30,2016-06-01,2016-05-31,2,7,DB,2024-05-02 09:21:33.704821
249,145,4,2016-06-01,2016-06-04,2016-06-04,2,6,DB,2024-05-02 09:21:33.704821
250,150,4,2016-06-01,2016-06-02,2016-06-04,2,7,DB,2024-05-02 09:21:33.704821
251,851,4,2016-06-01,2016-06-04,2016-06-04,2,7,DB,2024-05-02 09:21:33.704821
252,66,4,2016-06-01,2016-06-04,2016-06-02,3,8,DB,2024-05-02 09:21:33.704821
253,1267,4,2016-06-02,2016-06-05,2016-06-05,2,6,DB,2024-05-02 09:21:33.704821
254,510,4,2016-06-03,2016-06-06,2016-06-05,2,7,DB,2024-05-02 09:21:33.704821
255,801,4,2016-06-03,2016-06-06,2016-06-05,2,7,DB,2024-05-02 09:21:33.704821
256,26,4,2016-06-04,2016-06-05,2016-06-07,2,7,DB,2024-05-02 09:21:33.704821
257,1314,4,2016-06-05,2016-06-06,2016-06-08,1,3,DB,2024-05-02 09:21:33.704821
258,107,4,2016-06-06,2016-06-07,2016-06-07,2,7,DB,2024-05-02 09:21:33.704821
259,413,4,2016-06-06,2016-06-09,2016-06-09,2,7,DB,2024-05-02 09:21:33.704821
260,632,4,2016-06-06,2016-06-08,2016-06-08,2,6,DB,2024-05-02 09:21:33.704821
261,1045,4,2016-06-08,2016-06-10,2016-06-09,1,2,DB,2024-05-02 09:21:33.704821
262,579,4,2016-06-08,2016-06-11,2016-06-10,3,9,DB,2024-05-02 09:21:33.704821
263,1322,4,2016-06-09,2016-06-10,2016-06-12,2,6,DB,2024-05-02 09:21:33.704821
265,682,4,2016-06-10,2016-06-12,2016-06-11,2,7,DB,2024-05-02 09:21:33.704821
266,933,4,2016-06-10,2016-06-13,2016-06-13,2,7,DB,2024-05-02 09:21:33.704821
267,282,4,2016-06-11,2016-06-14,2016-06-14,1,3,DB,2024-05-02 09:21:33.704821
268,540,4,2016-06-11,2016-06-14,2016-06-12,1,3,DB,2024-05-02 09:21:33.704821
269,764,4,2016-06-12,2016-06-13,2016-06-15,2,6,DB,2024-05-02 09:21:33.704821
270,879,4,2016-06-12,2016-06-15,2016-06-13,2,7,DB,2024-05-02 09:21:33.704821
271,350,4,2016-06-13,2016-06-16,2016-06-14,2,7,DB,2024-05-02 09:21:33.704821
272,497,4,2016-06-15,2016-06-18,2016-06-16,2,7,DB,2024-05-02 09:21:33.704821
273,1340,4,2016-06-16,2016-06-19,2016-06-17,2,7,DB,2024-05-02 09:21:33.704821
274,411,4,2016-06-17,2016-06-20,2016-06-18,2,7,DB,2024-05-02 09:21:33.704821
275,1341,4,2016-06-17,2016-06-19,2016-06-18,2,7,DB,2024-05-02 09:21:33.704821
276,1227,4,2016-06-18,2016-06-19,2016-06-19,2,6,DB,2024-05-02 09:21:33.704821
277,546,4,2016-06-19,2016-06-20,2016-06-20,2,7,DB,2024-05-02 09:21:33.704821
278,1301,4,2016-06-20,2016-06-23,2016-06-21,1,3,DB,2024-05-02 09:21:33.704821
279,378,4,2016-06-21,2016-06-22,2016-06-22,2,6,DB,2024-05-02 09:21:33.704821
280,638,4,2016-06-21,2016-06-22,2016-06-23,2,7,DB,2024-05-02 09:21:33.704821
281,800,4,2016-06-21,2016-06-22,2016-06-23,2,7,DB,2024-05-02 09:21:33.704821
282,159,4,2016-06-22,2016-06-25,2016-06-25,3,9,DB,2024-05-02 09:21:33.704821
283,181,4,2016-06-23,2016-06-26,2016-06-26,1,2,DB,2024-05-02 09:21:33.704821
284,1356,4,2016-06-23,2016-06-25,2016-06-25,2,7,DB,2024-05-02 09:21:33.704821
285,319,4,2016-06-25,2016-06-26,2016-06-27,1,2,DB,2024-05-02 09:21:33.704821
286,59,4,2016-06-25,2016-06-26,2016-06-26,2,6,DB,2024-05-02 09:21:33.704821
287,133,4,2016-06-25,2016-06-26,2016-06-27,2,6,DB,2024-05-02 09:21:33.704821
288,780,4,2016-06-25,2016-06-28,2016-06-28,2,6,DB,2024-05-02 09:21:33.704821
289,849,4,2016-06-27,2016-06-28,2016-06-30,2,6,DB,2024-05-02 09:21:33.704821
290,202,4,2016-06-28,2016-06-29,2016-06-30,2,6,DB,2024-05-02 09:21:33.704821
